"Gouvernorat";"Taux_enquete";"Ecart_type_enquete";"IC95_bas";"IC95_haut";"Taux_recensement";"Ecart_type_recensement";"Diff_absolue";"Largeur_IC";"Diff";"Diff_relatif";"Recensement_dans_IC";"Gouv_clean"
"TUNIS";3,5;0,5748;2,4;4,6;4,6;0,3601;1,1;2,2;1,1;0,239130434782609;TRUE;"TUNIS"
"ARIANA";5,4;0,6976;4;6,8;7;1,0237;1,6;2,8;1,6;0,228571428571429;FALSE;"ARIANA"
"BEN AROUS";4,3;0,5946;3,1;5,4;5,6;0,2877;1,4;2,3;1,3;0,232142857142857;FALSE;"BEN AROUS"
"MANOUBA";12,1;1,3788;9,4;14,8;9,8;0,6971;2,3;5,4;-2,3;-0,23469387755102;TRUE;"MANOUBA"
"NABEUL";7,4;0,8;5,8;9;8,1;0,5165;0,7;3,2;0,699999999999999;0,0864197530864197;TRUE;"NABEUL"
"ZAGHOUAN";12,1;1,311;9,6;14,7;13,7;0,6048;1,6;5,1;1,6;0,116788321167883;TRUE;"ZAGHOUAN"
"BIZERTE";17,5;1,1201;15,3;19,7;16,9;0,5354;0,5;4,4;-0,600000000000001;-0,0355029585798817;TRUE;"BIZERTE"
"BEJA";32;1,8484;28,4;35,6;26,4;0,6409;5,6;7,2;-5,6;-0,212121212121212;FALSE;"BEJA"
"JENDOUBA";22,4;1,2146;20;24,8;21,5;0,8575;0,9;4,8;-0,899999999999999;-0,041860465116279;TRUE;"JENDOUBA"
"LE KEF";34,2;1,4593;31,4;37,1;33,1;0,8427;1,1;5,7;-1,1;-0,0332326283987916;TRUE;"LE KEF"
"SELIANA";27,7;1,7865;24,2;31,2;24,7;1,0065;3,1;7;-3;-0,121457489878543;TRUE;"SELIANA"
"SOUSSE";16,2;1,0952;14;18,3;14,3;1,1083;1,8;4,3;-1,9;-0,132867132867133;TRUE;"SOUSSE"
"MONASTIR";8,3;1,1492;6,1;10,6;7,7;0,4255;0,6;4,5;-0,6;-0,077922077922078;TRUE;"MONASTIR"
"MAHDIA";21,1;1,682;17,8;24,4;25;0,6852;3,9;6,6;3,9;0,156;FALSE;"MAHDIA"
"SFAX";5,8;0,561;4,5;7,1;6,3;0,4;0,6;2,6;0,5;0,0793650793650794;TRUE;"SFAX"
"KAIROUAN";34,9;1,3303;32,2;37,5;29,3;0,3536;5,6;5,3;-5,6;-0,191126279863481;FALSE;"KAIROUAN"
"KASSERINE";32,8;1,3052;30,2;35,4;33,6;0,2965;0,8;5,2;0,800000000000004;0,0238095238095239;TRUE;"KASSERINE"
"SIDI BOUZID";23,1;1,1747;20,8;25,4;25;0,5792;1,9;4,6;1,9;0,0759999999999999;TRUE;"SIDI BOUZID"
"GABES";15,8;1,0379;13,8;17,9;16,9;0,6712;1,1;4,1;1,1;0,0650887573964496;TRUE;"GABES"
"MEDNINE";21,6;1,1786;19,3;23,9;18,5;0,733;3,1;4,6;-3,1;-0,167567567567568;FALSE;"MEDNINE"
"TATAOUINE";15;0,9954;13;16,9;17,8;0,8153;2,8;3,9;2,8;0,157303370786517;FALSE;"TATAOUINE"
"GAFSA";18;1,0846;15,9;20,1;19;0,8616;0,9;4,2;1;0,0526315789473684;TRUE;"GAFSA"
"TOZEUR";14,6;0,9823;12,6;16,5;14,6;0,7464;0;3,9;0;0;TRUE;"TOZEUR"
"KEBILI";18,5;1,0809;16,4;20,7;19,2;0,3;0,6;4,3;0,699999999999999;0,0364583333333333;TRUE;"KEBILI"
